zip,week,deaths_weekly,wave,population,alpha_vaxleveldec,alpha_recoveredleveldec,dec65plus
60616,11,1,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,12,0,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,13,0,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,14,2,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,15,0,0,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,16,0,1,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,17,0,1,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,18,1,1,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,19,1,1,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,20,2,1,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,21,0,1,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,22,1,1,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,23,3,1,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,24,1,1,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,25,0,1,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60616,26,0,1,54197,3.3300000000000005,0.6319537981807111,1.5934461317047068
60617,0,5,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,1,6,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,2,2,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,3,2,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,4,2,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,5,2,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,6,2,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,7,3,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,8,5,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,9,2,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,10,3,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,11,3,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,12,1,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,13,1,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,14,1,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,15,1,0,83553,2.31,0.8630450133448231,1.505391787248812
60617,16,2,1,83553,2.31,0.8630450133448231,1.505391787248812
60617,17,4,1,83553,2.31,0.8630450133448231,1.505391787248812
60617,18,3,1,83553,2.31,0.8630450133448231,1.505391787248812
60617,19,3,1,83553,2.31,0.8630450133448231,1.505391787248812
60617,20,2,1,83553,2.31,0.8630450133448231,1.505391787248812
60617,21,0,1,83553,2.31,0.8630450133448231,1.505391787248812
60617,22,3,1,83553,2.31,0.8630450133448231,1.505391787248812
60617,23,0,1,83553,2.31,0.8630450133448231,1.505391787248812
60617,24,0,1,83553,2.31,0.8630450133448231,1.505391787248812
60617,25,1,1,83553,2.31,0.8630450133448231,1.505391787248812
60617,26,0,1,83553,2.31,0.8630450133448231,1.505391787248812
60618,0,3,0,94907,3.5099999999999993,0.8213303549790849,0.9165814955693469
60618,1,8,0,94907,3.5099999999999993,0.8213303549790849,0.9165814955693469
60618,2,2,0,94907,3.5099999999999993,0.8213303549790849,0.9165814955693469
60618,3,3,0,94907,3.5099999999999993,0.8213303549790849,0.9165814955693469
60618,4,3,0,94907,3.5099999999999993,0.8213303549790849,0.9165814955693469
60618,5,2,0,94907,3.5099999999999993,0.8213303549790849,0.9165814955693469
60618,6,2,0,94907,3.5099999999999993,0.8213303549790849,0.9165814955693469
60618,7,1,0,94907,3.5099999999999993,0.8213303549790849,0.9165814955693469
60618,8,2,0,94907,3.5099999999999993,0.8213303549790849,0.9165814955693469
